iter	MultiClass
0	1.641648091
1	1.528999384
2	1.438631312
3	1.366037408
4	1.301812808
5	1.246708667
6	1.200199353
7	1.158779634
8	1.108764855
9	1.066933113
10	1.029880619
11	0.9983317426
12	0.9703311268
13	0.9447198276
14	0.9232481527
15	0.9028744612
16	0.8839856065
17	0.8671102217
18	0.85209121
19	0.8379562038
20	0.8257970289
21	0.814106681
22	0.8035290179
23	0.7944646706
24	0.7859382697
25	0.7780720443
26	0.7706330819
27	0.7633428264
28	0.7576159175
29	0.7509956897
30	0.745361915
31	0.7397911792
32	0.7344232605
33	0.7297023553
34	0.7257346829
35	0.7216836515
36	0.7181414717
37	0.7146580973
38	0.7113190425
39	0.7085322506
40	0.7049705973
41	0.7024816041
42	0.700093673
43	0.6977546182
44	0.6960662716
45	0.6937041256
46	0.6912717057
47	0.6892028941
48	0.6872736299
49	0.6855698122
50	0.6835016164
51	0.6823509852
52	0.6808718442
53	0.678817657
54	0.6773872383
55	0.6755734298
56	0.6745308651
57	0.6730004618
58	0.6715448738
59	0.6696149169
60	0.6686724908
61	0.6676033713
62	0.6660225523
63	0.6647974908
64	0.6630145474
65	0.6618868534
66	0.6601435499
67	0.6588482143
68	0.6575923645
69	0.6564685191
70	0.6551036792
71	0.6541032943
72	0.6531169181
73	0.6520248615
74	0.6510013855
75	0.6499715979
76	0.6490090825
77	0.6483962438
78	0.647177109
79	0.6464414255
80	0.6456891164
81	0.6450672722
82	0.6442442272
83	0.6430520705
84	0.6422784791
85	0.6414720212
86	0.6407537331
87	0.6399647091
88	0.6393518704
89	0.6386227294
90	0.637893165
91	0.6370327124
92	0.6362426878
93	0.635447814
94	0.6349077124
95	0.6344369997
96	0.6338178879
97	0.633220097
98	0.63265244
99	0.6318523322
100	0.6312871382
101	0.6304642087
102	0.6300121613
103	0.629462323
104	0.6286776093
105	0.6279175647
106	0.6273369381
107	0.6268521783
108	0.626454472
109	0.6261405095
110	0.6255770474
111	0.6249138316
112	0.6243508313
113	0.6236753002
114	0.6232483067
115	0.6228302802
116	0.6221749538
117	0.6214015933
118	0.6209609375
119	0.6204836823
120	0.6201049107
121	0.6195460283
122	0.6190005003
123	0.6186155711
124	0.6179257235
125	0.6173076124
126	0.6166557497
127	0.6162883698
128	0.6156545567
129	0.6152218673
130	0.6147689732
131	0.6143315502
132	0.6139512392
133	0.6136076047
134	0.6131803802
135	0.6128254695
136	0.6123571813
137	0.6117072044
138	0.6113167334
139	0.6108131927
140	0.6105323661
141	0.6098694966
142	0.6094667103
143	0.6091864609
144	0.6087021629
145	0.6079182189
146	0.6076518242
147	0.6073905865
148	0.6069412331
149	0.6065305573
150	0.6060426031
151	0.6054888778
152	0.6051739917
153	0.604760468
154	0.6044293026
155	0.6040691195
156	0.603654903
157	0.6029934575
158	0.6026111068
159	0.6022098599
160	0.601763008
161	0.6013264317
162	0.6010753156
163	0.6006999307
164	0.600207012
165	0.5997359914
166	0.5993851601
167	0.5989866456
168	0.5987319889
169	0.5983899323
170	0.5981280403
171	0.5978268165
172	0.5975947506
173	0.597115879
174	0.5966893858
175	0.5963429803
176	0.5960104295
177	0.5956716056
178	0.5953923568
179	0.5950091595
180	0.5947079741
181	0.5943408251
182	0.5940702355
183	0.59378125
184	0.5934825277
185	0.5928798107
186	0.5926834206
187	0.5922206358
188	0.5919378079
189	0.5916320043
190	0.5914447737
191	0.5913109606
192	0.5911154557
193	0.5906427032
194	0.5902501155
195	0.5899506235
196	0.5896905018
197	0.5893653402
198	0.5888653787
199	0.588550839
200	0.5882857528
201	0.5877703202
202	0.5875748922
203	0.5871951586
204	0.5869201817
205	0.5866991995
206	0.5864692118
207	0.5862132851
208	0.5859511623
209	0.5855904018
210	0.5853024938
211	0.5849190271
212	0.5846691425
213	0.5844159098
214	0.5841447814
215	0.583891895
216	0.5834854911
217	0.5832294489
218	0.5829926108
219	0.5827698199
220	0.5823883929
221	0.5821248461
222	0.5819031712
223	0.5814613224
224	0.5812545797
225	0.5810469135
226	0.5808843519
227	0.5804772167
228	0.5803018781
229	0.579779903
230	0.5794924184
231	0.5791653325
232	0.5789685191
233	0.57883867
234	0.5785352909
235	0.5782371075
236	0.5778848137
237	0.5777525015
238	0.5774866071
239	0.5772620844
240	0.5770192426
241	0.5767489224
242	0.5764896475
243	0.5763704587
244	0.576208282
245	0.5759863377
246	0.5756746459
247	0.5755197429
248	0.5752784791
249	0.5751010237
250	0.5746037177
251	0.5744182959
252	0.5742115148
253	0.5739385391
254	0.5736522475
255	0.5732012392
256	0.5729642087
257	0.5726713362
258	0.5724060191
259	0.5720663485
260	0.5717508852
261	0.5715265163
262	0.5713105757
263	0.5710795874
264	0.5709919951
265	0.570757851
266	0.5706096059
267	0.5704864532
268	0.5701905403
269	0.5697371075
270	0.5695643473
271	0.5693109991
272	0.5689903402
273	0.5687413793
274	0.5685992919
275	0.5683517934
276	0.56825254
277	0.5681179187
278	0.5679431573
