iter	Passed	Remaining
0	13	27218
1	27	27721
2	40	26770
3	54	27140
4	67	27021
5	80	26760
6	93	26479
7	105	26269
8	117	25951
9	129	25704
10	140	25492
11	154	25665
12	168	25698
13	181	25718
14	194	25778
15	215	26707
16	227	26593
17	240	26431
18	258	26973
19	273	27062
20	289	27281
21	303	27257
22	315	27134
23	327	26950
24	339	26787
25	351	26655
26	362	26518
27	376	26493
28	389	26449
29	403	26473
30	416	26459
31	431	26515
32	444	26500
33	456	26409
34	470	26422
35	483	26364
36	495	26289
37	507	26214
38	519	26143
39	532	26082
40	545	26049
41	557	25982
42	568	25864
43	580	25807
44	593	25782
45	606	25761
46	618	25710
47	631	25684
48	644	25651
49	661	25799
50	676	25838
51	689	25839
52	701	25765
53	713	25701
54	724	25613
55	736	25583
56	748	25531
57	761	25497
58	773	25443
59	785	25410
60	799	25400
61	810	25348
62	823	25327
63	836	25292
64	849	25284
65	862	25259
66	874	25237
67	887	25211
68	900	25188
69	912	25153
70	925	25133
71	937	25104
72	949	25076
73	962	25038
74	974	25000
75	986	24979
76	999	24961
77	1010	24901
78	1023	24885
79	1035	24862
80	1048	24845
81	1061	24826
82	1073	24803
83	1087	24794
84	1099	24782
85	1112	24759
86	1124	24727
87	1137	24714
88	1150	24696
89	1166	24746
90	1179	24745
91	1193	24748
92	1211	24849
93	1225	24844
94	1237	24816
95	1251	24826
96	1265	24826
97	1276	24781
98	1289	24759
99	1301	24727
100	1313	24696
101	1325	24661
102	1336	24612
103	1348	24590
104	1361	24564
105	1372	24532
106	1385	24510
107	1397	24481
108	1409	24461
109	1421	24427
110	1433	24402
111	1448	24412
112	1461	24404
113	1474	24397
114	1486	24366
115	1498	24335
116	1510	24308
117	1522	24283
118	1535	24263
119	1547	24241
120	1558	24204
121	1572	24200
122	1583	24162
123	1595	24143
124	1608	24128
125	1620	24104
126	1634	24104
127	1649	24119
128	1663	24120
129	1679	24152
130	1696	24208
131	1711	24224
132	1725	24223
133	1743	24285
134	1760	24323
135	1773	24301
136	1785	24273
137	1796	24246
138	1809	24223
139	1821	24197
140	1833	24171
141	1845	24145
142	1856	24105
143	1868	24088
144	1881	24069
145	1894	24057
146	1906	24035
147	1921	24043
148	1933	24025
149	1946	24003
150	1959	23991
151	1972	23979
152	1984	23962
153	1997	23939
154	2009	23920
155	2022	23905
156	2034	23879
157	2046	23862
158	2059	23842
159	2071	23824
160	2087	23849
161	2101	23846
162	2151	24243
163	2256	25266
164	2269	25241
165	2282	25218
166	2294	25189
167	2306	25155
168	2318	25119
169	2330	25091
170	2344	25073
171	2356	25042
172	2368	25017
173	2379	24973
174	2391	24941
175	2403	24911
176	2415	24882
177	2428	24860
178	2441	24833
179	2453	24806
180	2465	24772
181	2477	24745
182	2489	24718
183	2501	24690
184	2513	24659
185	2525	24631
186	2538	24612
187	2551	24595
188	2565	24580
